,tweet,label
0,soal jalan jatibaru polisi tidak bisa gertak gubernur memang polisi tidak ikut bahas jangan politik atur wilayah hak gubernur soal tanah abang soal turun turun pelik perlu sabar,0
1,sama cewek lho kayak harus bisa lebih rasain lah yang harus sibuk jaga diri rasain sakit haid dan panik pulang malam sendiri gimana orang asing wajar banyak korban yang takut curhat bukan bela malah hujat,0
2,kepingin gudeg mbarek bu hj amad foto dari google sengaja biar teman juga bayang bagi itu indah,1
3,jalan jatibaru bagi dari wilayah tanah abang atur wilayah tunggu jawab dan wwnang gub tanah abang soal rumit sejak gub trdahulu sekarang sedng benah agr bermnfaat semua pihak mohon yang punya otak pikir dengan wajar kecuali otak butek ya kamu,0
4,sharing alam saja kemarin jam batalin tiket di stasiun pasar senin lancar antri tidak terlalu ramai menit dan beress semua mungkin bisa coba twips di jam segitu cc,1
5,dari sekian banyak thread yang saya baca thread ini paling aneh sih dalam tulis sumpah aneh sangat mau ngatain lebay saja segala bikin thread aduh saya juga tidak jago nulis tapi tulis saya tidak beranta thread mbak,0
6,sharing sama teman tuh memang guna sangat saat kamu rasa masalah kamu berat sangat nyata teman kita sendiri punya masalah lebih berat dari kita malah masalah kita tidak ada apa nya banding masalah dia,1
7,orang lain kalau pakai ponco itu buat jas hujan nah dia pakai buat kasur ya tadi gara saking tidak punya apa mamak bilang kami tuh di awal pernik tidak ada ngalamin bulan madu mirip sekarang orang tidur nya saja pakai ponco gimane mau bulan madu,0
8,contoh mereka yang gemar sudut teriak paling toleran tapi gemar tuduh gemar men-judge orang dasar versi mereka cukup tahu saja,0
9,pulang sudah h- lebaran dilema sekali seperti tidak bisa laku apa rumah belum lebaran buka puasa bareng hanya hari sama keluarga begitu juga sahur,0
10,betul min rakyat indonesia sekarang harap nya tinggal sama tni saja kalau yang lain lihat saja sudah jelas serang ke kantor media kata tidak ada unsur pidana sudah jelas hina presiden indonesia yang sah cuma lucu lucu an saja,0
11,kalaupun fansite ngejual hasil jepret mereka toh uang nya lari ke idol juga beliin mereka hadiah dan bagai kan kpopers baru ya fansite sudah ada dari jaman kamera belum bening sekarang,0
12,sangat syukur bisa doa kakek bung karno sama anak yatim piatu h,1
13,sulit terima nyata memang bahwa ada bagi yang anggap ketika kita interaksi dengan satu orang dari satu golong tentu kita langsung kata golong tentu saat tanpa kita ajar cara utuh dan klaim diri kita paling benar,0
14,samanye sudah maling semua tidak si jancok tidak si anjing tidak si siluman monyet hahahahaha satu hati sama sama maling,0
15,ku juga ingin ngamuk bacain komentar netizen yang mahabenar ya lord tidak abis pikir komentar macem gin yang bikin kasus leceh seksual akan tenggelam begitu saja tidak ada hukum untuk laku lebih sedih rerata yang komentar jahat adalah perempuan mbaq sehat loh,0
16,tiap sempat yang pernah hadir tuk dapat buat selalu rasa aman dan nyaman kini jadi suatu hormat yang pernah dapat,1
17,sedap kali kamu ya tidur kasur ku saya tidur kamu ikut tidur mau jadi apa kamu baca pakai logat mamak dahlia di keluarga badak,0
18,h- mau ke bank ramai sangat ampe antri tempat duduk ada luar toko emas luber ampe tidak lihat mbak nya yang jual ke swalayan antri kasir naudzubilah panjang benar pada bahagia semua kayak moga oh moga rs sepi pasien pada sembuh dan pulang untuk bahagia,1
19,benar hancur negara ini kelola amatir tapi kenpak tidak indah statementnya sendiri negara miskin koordinasi jangan asal gagah an seta salah anulir mana marwahmu wahai mr presiden,0
20,budaya cari dan baca belum tanya ya sudah jelas kali kok lama tidak atur tidak ada tentu khusus pakai saja,0
21,paruh hati ini iri jika lihat orang anak yang masih bisa duduk atau jalan sama ibunda dan paruh hati ini turut empat lihat orang anak yang begitu gundah saat ibunda sakit yang sabar ya kawan moga allah beri yang baik untuk kita semua,0
22,ketika saya senyum bukan arti hidup sempurna saya hanya syukur apa yang saya punya dan apa yang telah tuhan ikan untuk ku,1
23,dari mau tidur tidur sampai bangun tidur kok yaa mirip rasa aneh tidak enak hati sudah bawa istighfar masih saja bangun tidur mirip sedih mirip mikir tidak puguh ini kenapa sangat coba,0
24,kan peluk engkau erat hingga tak ada orang pun yang bisa rebut mu dari peluk ku anniversary sayang,1
25,kalau mau ganti presiden itu harus jelas siapa calon terus adu program kerja ini koalisi belum ditentuin bisa hanya buat kaos dan tagar,0
26,sukses n keren sekali dengan no kualitas bahan kerja itu cita pu agar waris ampe ke cu sukses tims bbpjn barokah limpah,1
27,sudah mau sarjana kali mbokya mulut nya jangan tinggal buat ajar sekira itu tidak perlu ungkap tambah dosa sakit hati orang mending diam baik lah kasihan anda nya yang di julidin sama orang,0
28,gimana orang tidak nilai dari jilbab syar tidak nya kadang gemas sama orang yang kelas diam baik eh di grup saya bisa dia nyeletuk arah ke social harassment,0
29,hari ini jadwal presentasi proker di lppm karena ada praktikum jadi pak ketua di teman sekretaris tapi selaku tanggung jawab ada di sekretaris jadi deg deg an ini bismillah pak ketua btw pen upload foto pak ketua tapi jangan dulu yaa,0
30,foto saya di instagram masih ada cuma lupa password instanya jadi tidak bisa di buka ini pasti salah perintah dan instagram kenapa sampai pakai password segala tuh sampai lupa kan saya,0
31,drama kmarin sore hari puasa terus pas lagi mandi kaget bcz datang tamu tak undang pas sangat woi pas lagi adzan maghrib terus jadi galau dong hari itu anggap sah puasa apa enggak- -,0
32,sungguh cinta berat sekali pisah dengan apalagi - selalu bikin baper tapi sukses lupa lapar,0
33,pas sudah kirim kembali si kurir telepon keluh dan malas gerak buat antar ke alamat yang benar malah minta ketemu di titik yang dia tahu itu dia tidak mau susah no putar balik harus arah sama arah kendara dia jalan,0
34,pada akhir kita akan lewat semua ini semua yang dulu kita bayang betapa sulit kita lalu juga di akhir kita hanya bisa ajar ajar dan ajar petik semua hikmah yang bisa kita petik siap untuk depan,1
35,kenapa pasang seringkali ibarat bagai rumah karena rasa nyaman sama nyaman ada di rumah kamu bisa jadi apa saja kamu selalu pulang tuju,1
36,ya tahu kalau rasa sakit hati memamg sulit tapi ada kala nya saat di jenjang rumah tangga jangan lah di publik situasi saat ini media itu jahat tidak selesai masalah dengan lontar kata demi kata,0
37,ponakan kelas sd lagi suka nonton video tutorial masak craft youtube saya kelas sd sudah baca novel marga t amp mira saya pinjam punya sepupu,1
38,bberapa tahun kemudian sejahtera keluarga makmak ini teus tingkat sampai suami itu dapat pangkat yang tinggi kurang paham juga tentang pangkat an di tni pokok sudah hidup bekecukupan,1
39,bukan tidak dukung atau doa cuma sikap apa yang sudah itu pilih dan upaya tahan sini saya dari jauh harus bahagia tapi lihat sedih kebahagianku pudar seperti saat kala itu terima undang nikah,0
40,jne jnt lama saya pakai entah kirim paket beli olshop jastip dari luar kota sampai beda pulau maksimal hari sampai mau itu dia pakai mobil susah cari alamat bingung tidak bisa masuk kompleks gang meski malam sekalipun bain jalan ke rumah sampai paket kirim dengan baik,1
41,gemes sangat sama orang yang masih anggap wajar leceh sexual cara verbal mau verbal atau fisik atau apa itu tetap tidak benar,0
42,apa hukum main musik stad jelas haroooom hukum dosa kita main begitu kira cakap yang jadi antara pena dan orang ustad buah acara tv yang intro pakai musik,0
43,apa hebat mardani turut saya oeang ini cuma besar mulut saja fakta sampai saat ini belum sebut capres lagipula kalau koalisi hanya pks dan gerindra tidak mungkin lah yaow,0
44,oh iya ibu nya ngelahirin anak ke yaitu cewek tapi tidak tahu tahun berapa nya lanjut yang tadi baru saja tahun di kasih nikmat datang lagi uji buat si makmak kali ini mungkin berat dia di tinggal suami tinggal ketika ibu itu jadi singel parent,0
45,z suka twitter soalny perempuan ji semua teman di sini biar omel sampai tablengker ndada bahaya bahas monsteration juga bebas bahas tidak puasa juga bebas di saya mau update status stres monsteration kita harus pi dulu blok semua cowok baru mengupdate,1
46,tidak ngerti lagi sama ciwi-ciwi yang nyinyirin via vallen ini dia itu korban loh susah itu untuk saling support satu sama lain gurlzz,0
47,hari ini libur rencana mau nonton jurassic world tapi kayak tidak jadi deh ingat kondisi yang tidak fit sangat ini kesal rusak rencana belanga kesal saya,0
48,nah ini yang nunggu anak anteng dengan sabar luas samudra terus bapak datang bikin anak nang hmmm ingin marah lampias,0
49,ku rindu bisik mu di telinga seraya kamu kata moga kelak kamu jadi anak yang guna bagi banyak orang dan moga kamu selalu sayang kami orang tua mu,1
50,ini hasil sekolah asal sekolah mikirlah mahkamah internasional itu punya wenang adil perkara genosida dsbnya,0
51,lah elu yang harus tanya teh kenapa bisa asumsi guw mah kacang tanpa kulit maksud apa hayo ke sana juga kan maksud loooo,0
52,web permata kurang profesional ada program cashback ribu token pln waktu di klik info masuk ke program paket kuota data piye iki,0
53,nah yang saya takut itu mas nanti di tumpang politik balut agama itu yang bahaya soal masyarakat kita sedang sensitif dengan hal sebut,0
54,mau cerita siapa kalau sudah mirip begini hancur hidup ini pikirin dong gimana hati ku saya sedih saya nang sampai tetes air mata ini kayak lirik lagu sayang pia palen deh wkwkw,0
55,telah hari puasa dan saur tidak pernah siang akhir di hari ke rasa makan saur supeerrr dupeerr ekspress menit belum imsak baru bangun yassalaaam,0
