tweet,label
jalan jatibaru polisi gertak gubernur polisi bahas politik atur wilayah hak gubernur tanah abang turun turun pelik sabar,0
cewek lho kayak rasain sibuk jaga rasain sakit haid panik pulang malam gimana orang asing wajar korban takut curhat bela hujat,0
kepingin gudeg mbarek bu hj amad foto google sengaja biar teman bayang indah,1
jalan jatibaru wilayah tanah abang atur wilayah tunggu wwnang gub tanah abang rumit gub trdahulu sedng benah agr bermnfaat mohon otak pikir wajar kecuali otak butek ya,0
sharing alam kemarin jam batalin tiket stasiun pasar senin lancar antri ramai menit beress coba twips jam segitu cc,1
sekian thread baca thread aneh sih tulis sumpah aneh ngatain lebay bikin thread aduh jago nulis tulis beranta thread mbak,0
sharing teman tuh berat nyata teman berat nya banding,1
orang pakai ponco jas hujan pakai kasur ya gara saking mamak bilang tuh pernik ngalamin madu orang tidur nya pakai ponco gimane madu,0
contoh gemar sudut teriak toleran gemar tuduh gemar men-judge orang dasar versi,0
pulang h- lebaran dilema laku rumah lebaran buka puasa bareng keluarga sahur,0
min rakyat indonesia harap nya tinggal tni lihat serang kantor media unsur pidana hina presiden indonesia sah lucu lucu an,0
fansite ngejual hasil jepret uang nya lari idol beliin hadiah kpopers ya fansite jaman kamera bening,0
syukur doa kakek karno anak yatim piatu h,1
sulit terima nyata anggap interaksi orang golong langsung golong ajar utuh klaim,0
samanye maling si jancok si anjing si siluman monyet hahahahaha hati maling,0
ku ngamuk bacain komentar netizen mahabenar ya lord abis pikir komentar macem gin bikin leceh seksual tenggelam hukum laku sedih rerata komentar jahat perempuan mbaq sehat loh,0
hadir tuk aman nyaman hormat,1
sedap kali ya tidur kasur ku tidur tidur baca pakai logat mamak dahlia keluarga badak,0
h- bank ramai ampe antri duduk toko emas luber ampe lihat mbak nya jual swalayan antri kasir naudzubilah bahagia kayak moga oh moga rs sepi pasien sembuh pulang bahagia,1
hancur negara kelola amatir kenpak indah statementnya negara miskin koordinasi gagah an seta salah anulir marwahmu mr presiden,0
budaya cari baca ya kali atur khusus pakai,0
paruh hati iri lihat orang anak duduk jalan ibunda paruh hati lihat orang anak gundah ibunda sakit sabar ya kawan moga allah,0
senyum arti hidup sempurna syukur tuhan ikan ku,1
tidur tidur bangun tidur yaa aneh enak hati bawa istighfar bangun tidur sedih mikir puguh coba,0
peluk engkau erat orang rebut mu peluk ku anniversary sayang,1
ganti presiden calon adu program kerja koalisi ditentuin kaos tagar,0
sukses n keren no kualitas bahan kerja cita pu waris ampe cu sukses tims bbpjn barokah limpah,1
sarjana kali mbokya mulut nya tinggal ajar sekira dosa sakit hati orang mending diam kasihan nya julidin orang,0
gimana orang nilai jilbab syar nya kadang gemas orang kelas diam eh grup nyeletuk arah social harassment,0
jadwal presentasi proker lppm praktikum ketua teman sekretaris tanggung sekretaris deg deg an bismillah ketua btw pen upload foto ketua yaa,0
foto instagram lupa password instanya buka salah perintah instagram pakai password tuh lupa,0
drama kmarin sore puasa pas mandi kaget bcz tamu undang pas woi pas adzan maghrib galau anggap sah puasa enggak- -,0
sungguh cinta berat pisah - bikin baper sukses lupa lapar,0
pas kirim si kurir telepon keluh malas gerak alamat ketemu titik susah no putar arah arah kendara jalan,0
bayang betapa sulit ajar ajar ajar petik hikmah petik,1
pasang seringkali rumah nyaman nyaman rumah pulang tuju,1
ya sakit hati memamg sulit nya jenjang rumah tangga publik situasi media jahat selesai lontar,0
ponakan kelas sd suka nonton video tutorial masak craft youtube kelas sd baca novel marga t amp mira pinjam sepupu,1
bberapa sejahtera keluarga makmak teus tingkat suami pangkat paham pangkat an tni pokok hidup bekecukupan,1
dukung doa sikap pilih upaya tahan bahagia lihat sedih kebahagianku pudar terima undang nikah,0
jne jnt pakai kirim paket beli olshop jastip kota beda pulau maksimal pakai mobil susah cari alamat bingung masuk kompleks gang malam bain jalan rumah paket kirim,1
gemes orang anggap wajar leceh sexual verbal verbal fisik,0
hukum main musik stad haroooom hukum dosa main cakap pena orang ustad buah acara tv intro pakai musik,0
